ICD9編碼,ICD10編碼,ICD9內容,ICD10內容,對應情形
821.0,S72.8x1A,"股骨閉鎖性骨折Fracture of unspecified part of femur, closed","右側股骨閉鎖性其他骨折之初期照護Other fracture of right femur, initial encounter for closed fracture",10000
821.0,S72.8x2A,"股骨閉鎖性骨折Fracture of unspecified part of femur, closed","左側股骨閉鎖性其他骨折之初期照護Other fracture of left femur, initial encounter for closed fracture",10000
821.0,S72.8x9A,"股骨閉鎖性骨折Fracture of unspecified part of femur, closed","未明示側性股骨閉鎖性其他骨折之初期照護Other fracture of unspecified femur, initial encounter for closed fracture",10000
821.0,S72.90XA,"股骨閉鎖性骨折Fracture of unspecified part of femur, closed","未明示側性股骨閉鎖性骨折之初期照護Unspecified fracture of unspecified femur, initial encounter for closed fracture",10000
821.0,S72.91xA,"股骨閉鎖性骨折Fracture of unspecified part of femur, closed","右側股骨閉鎖性骨折之初期照護Unspecified fracture of right femur, initial encounter for closed fracture",10000
821.0,S72.92xA,"股骨閉鎖性骨折Fracture of unspecified part of femur, closed","左側股骨閉鎖性骨折之初期照護Unspecified fracture of left femur, initial encounter for closed fracture",10000
821.01,S72.301A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹閉鎖性骨折之初期照護Unspecified fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.302A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹閉鎖性骨折之初期照護Unspecified fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.309A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹閉鎖性骨折之初期照護Unspecified fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.01,S72.321A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹閉鎖性橫斷移位性骨折之初期照護Displaced transverse fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.322A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹閉鎖性橫斷移位性骨折之初期照護Displaced transverse fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.323A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹閉鎖性橫斷移位性骨折之初期照護Displaced transverse fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.01,S72.324A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹閉鎖性橫斷非移位性骨折之初期照護Nondisplaced transverse fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.325A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹閉鎖性橫斷非移位性骨折之初期照護Nondisplaced transverse fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.326A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹閉鎖性橫斷非移位性骨折之初期照護Nondisplaced transverse fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.01,S72.331A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹閉鎖性斜裂移位性骨折之初期照護Displaced oblique fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.332A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹閉鎖性斜裂移位性骨折之初期照護Displaced oblique fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.333A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹閉鎖性斜裂移位性骨折之初期照護Displaced oblique fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.01,S72.334A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹閉鎖性斜裂非移位性骨折之初期照護Nondisplaced oblique fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.335A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹閉鎖性斜裂非移位性骨折之初期照護Nondisplaced oblique fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.336A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹閉鎖性斜裂非移位性骨折之初期照護Nondisplaced oblique fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.01,S72.341A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹閉鎖性螺旋狀移位性骨折之初期照護Displaced spiral fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.342A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹閉鎖性螺旋狀移位性骨折之初期照護Displaced spiral fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.343A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹閉鎖性螺旋狀移位性骨折之初期照護Displaced spiral fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.01,S72.344A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹閉鎖性螺旋狀非移位性骨折之初期照護Nondisplaced spiral fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.345A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹閉鎖性螺旋狀非移位性骨折之初期照護Nondisplaced spiral fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.346A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹閉鎖性螺旋狀非移位性骨折之初期照護Nondisplaced spiral fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.01,S72.351A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹閉鎖性粉碎移位性骨折之初期照護Displaced comminuted fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.352A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹閉鎖性粉碎移位性骨折之初期照護Displaced comminuted fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.353A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹閉鎖性粉碎移位性骨折之初期照護Displaced comminuted fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.01,S72.354A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹閉鎖性粉碎非移位性骨折之初期照護Nondisplaced comminuted fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.355A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹閉鎖性非移位粉碎性骨折之初期照護Nondisplaced comminuted fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.356A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹閉鎖性非移位粉碎性骨折之初期照護Nondisplaced comminuted fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.01,S72.361A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹閉鎖性移位節段性骨折之初期照護Displaced segmental fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.362A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹閉鎖性移位節段性骨折之初期照護Displaced segmental fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.363A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹閉鎖性移位節段性骨折之初期照護Displaced segmental fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.01,S72.364A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹閉鎖性非移位節段性骨折之初期照護Nondisplaced segmental fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.365A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹閉鎖性非移位節段性骨折之初期照護Nondisplaced segmental fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.366A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹閉鎖性非移位節段性骨折之初期照護Nondisplaced segmental fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.01,S72.391A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","右側股骨幹其他閉鎖性骨折之初期照護Other fracture of shaft of right femur, initial encounter for closed fracture",10000
821.01,S72.392A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","左側股骨幹其他閉鎖性骨折之初期照護Other fracture of shaft of left femur, initial encounter for closed fracture",10000
821.01,S72.399A,"股骨幹閉鎖性骨折Fracture of shaft of femur, closed","未明示側性股骨幹其他閉鎖性骨折之初期照護Other fracture of shaft of unspecified femur, initial encounter for closed fracture",10000
821.1,S72.8x1B,"股骨開放性骨折Fracture of unspecified part of femur, open","右側股骨第I或II型開放性其他骨折之初期照護Other fracture of right femur, initial encounter for open fracture type I or II",10000
821.1,S72.8x1C,"股骨開放性骨折Fracture of unspecified part of femur, open","右側股骨IIIA,IIIB或IIIC型開放性其他骨折之初期照護Other fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
