ICD9編碼,ICD10編碼,ICD9內容,ICD10內容,對應情形
823.0,S82.101A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","右側脛骨上端閉鎖性骨折之初期照護Unspecified fracture of upper end of right tibia, initial encounter for closed fracture",10000
823.0,S82.102A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","左側脛骨上端閉鎖性骨折之初期照護Unspecified fracture of upper end of left tibia, initial encounter for closed fracture",10000
823.0,S82.109A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","未明示側性脛骨上端閉鎖性骨折之初期照護Unspecified fracture of upper end of unspecified tibia, initial encounter for closed fracture",10000
823.0,S82.111A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","右側脛骨棘移位閉鎖性骨折之初期照護Displaced fracture of right tibial spine, initial encounter for closed fracture",10000
823.0,S82.112A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","左側脛骨棘移位閉鎖性骨折之初期照護Displaced fracture of left tibial spine, initial encounter for closed fracture",10000
823.0,S82.113A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","未明示側性脛骨棘移位閉鎖性骨折之初期照護Displaced fracture of unspecified tibial spine, initial encounter for closed fracture",10000
823.0,S82.114A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","右側脛骨棘非移位閉鎖性骨折之初期照護Nondisplaced fracture of right tibial spine, initial encounter for closed fracture",10000
823.0,S82.115A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","左側脛骨棘非移位閉鎖性骨折之初期照護Nondisplaced fracture of left tibial spine, initial encounter for closed fracture",10000
823.0,S82.116A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","未明示側性脛骨棘非移位閉鎖性骨折之初期照護Nondisplaced fracture of unspecified tibial spine, initial encounter for closed fracture",10000
823.0,S82.121A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","右側脛骨外髁移位閉鎖性骨折之初期照護Displaced fracture of lateral condyle of right tibia, initial encounter for closed fracture",10000
823.0,S82.122A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","左側脛骨外髁移位閉鎖性骨折之初期照護Displaced fracture of lateral condyle of left tibia, initial encounter for closed fracture",10000
823.0,S82.123A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","未明示側性脛骨外髁移位閉鎖性骨折之初期照護Displaced fracture of lateral condyle of unspecified tibia, initial encounter for closed fracture",10000
823.0,S82.124A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","右側脛骨外髁非移位閉鎖性骨折之初期照護Nondisplaced fracture of lateral condyle of right tibia, initial encounter for closed fracture",10000
823.0,S82.125A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","左側脛骨外髁非移位閉鎖性骨折之初期照護Nondisplaced fracture of lateral condyle of left tibia, initial encounter for closed fracture",10000
823.0,S82.126A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","未明示側性脛骨外髁非移位閉鎖性骨折之初期照護Nondisplaced fracture of lateral condyle of unspecified tibia, initial encounter for closed fracture",10000
823.0,S82.131A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","右側脛骨內髁移位閉鎖性骨折之初期照護Displaced fracture of medial condyle of right tibia, initial encounter for closed fracture",10000
823.0,S82.132A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","左側脛骨內髁移位閉鎖性骨折之初期照護Displaced fracture of medial condyle of left tibia, initial encounter for closed fracture",10000
823.0,S82.133A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","未明示側性脛骨內髁移位閉鎖性骨折之初期照護Displaced fracture of medial condyle of unspecified tibia, initial encounter for closed fracture",10000
823.0,S82.134A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","右側脛骨內髁非移位閉鎖性骨折之初期照護Nondisplaced fracture of medial condyle of right tibia, initial encounter for closed fracture",10000
823.0,S82.135A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","左側脛骨內髁非移位閉鎖性骨折之初期照護Nondisplaced fracture of medial condyle of left tibia, initial encounter for closed fracture",10000
823.0,S82.136A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","未明示側性脛骨內髁非移位閉鎖性骨折之初期照護Nondisplaced fracture of medial condyle of unspecified tibia, initial encounter for closed fracture",10000
823.0,S82.141A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","右側脛骨雙髁移位閉鎖性骨折之初期照護Displaced bicondylar fracture of right tibia, initial encounter for closed fracture",10000
823.0,S82.142A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","左側脛骨雙髁移位閉鎖性骨折之初期照護Displaced bicondylar fracture of left tibia, initial encounter for closed fracture",10000
823.0,S82.143A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","未明示側性脛骨雙髁移位閉鎖性骨折之初期照護Displaced bicondylar fracture of unspecified tibia, initial encounter for closed fracture",10000
823.0,S82.144A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","右側脛骨雙髁非移位閉鎖性骨折之初期照護Nondisplaced bicondylar fracture of right tibia, initial encounter for closed fracture",10000
823.0,S82.145A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","左側脛骨雙髁非移位閉鎖性骨折之初期照護Nondisplaced bicondylar fracture of left tibia, initial encounter for closed fracture",10000
823.0,S82.146A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","未明示側性脛骨雙髁非移位閉鎖性骨折之初期照護Nondisplaced bicondylar fracture of unspecified tibia, initial encounter for closed fracture",10000
823.0,S82.151A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","右側脛骨粗隆移位閉鎖性骨折之初期照護Displaced fracture of right tibial tuberosity, initial encounter for closed fracture",10000
823.0,S82.152A,"僅脛骨上端閉鎖性骨折Fracture of upper end of tibia alone, closed","左側脛骨粗隆移位閉鎖性骨折之初期照護Displaced fracture of left tibial tuberosity, initial encounter for closed fracture",10000
