ICD9編碼,ICD10編碼,ICD9內容,ICD10內容,對應情形
826.0,S92.401A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","右側大腳趾移位閉鎖性骨折之初期照護Displaced unspecified fracture of right great toe, initial encounter for closed fracture",10000
826.0,S92.402A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","左側大腳趾移位閉鎖性骨折之初期照護Displaced unspecified fracture of left great toe, initial encounter for closed fracture",10000
826.0,S92.403A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","未明示側性大腳趾移位閉鎖性骨折之初期照護Displaced unspecified fracture of unspecified great toe, initial encounter for closed fracture",10000
826.0,S92.404A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","右側大腳趾非移位閉鎖性骨折之初期照護Nondisplaced unspecified fracture of right great toe, initial encounter for closed fracture",10000
826.0,S92.405A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","左側大腳趾非移位閉鎖性骨折之初期照護Nondisplaced unspecified fracture of left great toe, initial encounter for closed fracture",10000
826.0,S92.406A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","未明示側性大腳趾非移位閉鎖性骨折之初期照護Nondisplaced unspecified fracture of unspecified great toe, initial encounter for closed fracture",10000
826.0,S92.411A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","右側大腳趾近端趾骨移位閉鎖性骨折之初期照護Displaced fracture of proximal phalanx of right great toe, initial encounter for closed fracture",10000
826.0,S92.412A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","左側大腳趾近端趾骨移位閉鎖性骨折之初期照護Displaced fracture of proximal phalanx of left great toe, initial encounter for closed fracture",10000
826.0,S92.413A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","未明示側性大腳趾近端趾骨移位閉鎖性骨折之初期照護Displaced fracture of proximal phalanx of unspecified great toe, initial encounter for closed fracture",10000
826.0,S92.414A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","右側大腳趾近端趾骨非移位閉鎖性骨折之初期照護Nondisplaced fracture of proximal phalanx of right great toe, initial encounter for closed fracture",10000
826.0,S92.415A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","左側大腳趾近端趾骨非移位閉鎖性骨折之初期照護Nondisplaced fracture of proximal phalanx of left great toe, initial encounter for closed fracture",10000
826.0,S92.416A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","未明示側性大腳趾近端趾骨非移位閉鎖性骨折之初期照護Nondisplaced fracture of proximal phalanx of unspecified great toe, initial encounter for closed fracture",10000
826.0,S92.421A,"一個或多個腳趾骨閉鎖性骨折Fracture of one or more phalanges of foot, closed","右側大腳趾遠端趾骨移位閉鎖性骨折之初期照護Displaced fracture of distal phalanx of right great toe, initial encounter for closed fracture",10000
