ICD9編碼,ICD10編碼,ICD9內容,ICD10內容,對應情形
733.1,M80.00XA,"病理性骨折Pathologic fracture, unspecified site","未明示部位之老年性骨質疏鬆症伴有病?性骨折之初期照護Age-related osteoporosis with current pathological fracture, unspecified site, initial encounter for fracture",10000
733.1,M80.80XA,"病理性骨折Pathologic fracture, unspecified site","未明示部位之其他骨質疏鬆症伴有病?性骨折之初期照護Other osteoporosis with current pathological fracture, unspecified site, initial encounter for fracture",10000
733.1,M84.40XA,"病理性骨折Pathologic fracture, unspecified site","未明示部位之病理性骨折之初期照護Pathological fracture, unspecified site, initial encounter for fracture",10000
733.1,M84.50XA,"病理性骨折Pathologic fracture, unspecified site","腫瘤所致之未明示部位病理性骨折之初期照護Pathological fracture in neoplastic disease, unspecified site, initial encounter for fracture",10000
733.1,M84.60XA,"病理性骨折Pathologic fracture, unspecified site","其他疾病所致之未明示部位病理性骨折之初期照護Pathological fracture in other disease, unspecified site, initial encounter for fracture",10000
733.11,M80.021A,肱骨病理性骨折Pathologic fracture of humerus,"右側肱骨老年性骨質疏鬆症伴有病?性骨折之初期照護Age-related osteoporosis with current pathological fracture, right humerus, initial encounter for fracture",10000
733.11,M80.022A,肱骨病理性骨折Pathologic fracture of humerus,"左側肱骨老年性骨質疏鬆症伴有病?性骨折之初期照護Age-related osteoporosis with current pathological fracture, left humerus, initial encounter for fracture",10000
733.11,M80.029A,肱骨病理性骨折Pathologic fracture of humerus,"未明示側性肱骨老年性骨質疏鬆症伴有病?性骨折之初期照護Age-related osteoporosis with current pathological fracture, unspecified humerus, initial encounter for fracture",10000
733.11,M80.821A,肱骨病理性骨折Pathologic fracture of humerus,"右側肱骨其他骨質疏鬆症伴有病?性骨折之初期照護Other osteoporosis with current pathological fracture, right humerus, initial encounter for fracture",10000
733.11,M80.822A,肱骨病理性骨折Pathologic fracture of humerus,"左側肱骨其他骨質疏鬆症伴有病?性骨折之初期照護Other osteoporosis with current pathological fracture, left humerus, initial encounter for fracture",10000
733.11,M80.829A,肱骨病理性骨折Pathologic fracture of humerus,"未明示側性肱骨其他骨質疏鬆症伴有病?性骨折之初期照護Other osteoporosis with current pathological fracture, unspecified humerus, initial encounter for fracture",10000
733.11,M84.421A,肱骨病理性骨折Pathologic fracture of humerus,"右側肱骨病理性骨折之初期照護Pathological fracture, right humerus, initial encounter for fracture",10000
733.11,M84.422A,肱骨病理性骨折Pathologic fracture of humerus,"左側肱骨病理性骨折之初期照護Pathological fracture, left humerus, initial encounter for fracture",10000
733.11,M84.429A,肱骨病理性骨折Pathologic fracture of humerus,"未明示側性肱骨病理性骨折之初期照護Pathological fracture, unspecified humerus, initial encounter for fracture",10000
733.11,M84.521A,肱骨病理性骨折Pathologic fracture of humerus,"腫瘤所致之右側肱骨病理性骨折之初期照護Pathological fracture in neoplastic disease, right humerus, initial encounter for fracture",10000
733.11,M84.522A,肱骨病理性骨折Pathologic fracture of humerus,"腫瘤所致之左側肱骨病理性骨折之初期照護Pathological fracture in neoplastic disease, left humerus, initial encounter for fracture",10000
733.11,M84.529A,肱骨病理性骨折Pathologic fracture of humerus,"腫瘤所致之未明示側性肱骨病理性骨折之初期照護Pathological fracture in neoplastic disease, unspecified humerus, initial encounter for fracture",10000
733.11,M84.621A,肱骨病理性骨折Pathologic fracture of humerus,"其他疾病所致之右側肱骨病理性骨折之初期照護Pathological fracture in other disease, right humerus, initial encounter for fracture",10000
733.11,M84.622A,肱骨病理性骨折Pathologic fracture of humerus,"其他疾病所致之左側肱骨病理性骨折之初期照護Pathological fracture in other disease, left humerus, initial encounter for fracture",10000
733.11,M84.629A,肱骨病理性骨折Pathologic fracture of humerus,"其他疾病所致之未明示側性肱骨病理性骨折之初期照護Pathological fracture in other disease, unspecified humerus, initial encounter for fracture",10000
733.12,M80.031A,遠端橈骨及尺骨病理性骨折Pathologic fracture of distal radius and ulna,"右側前臂老年性骨質疏鬆症伴有病?性骨折之初期照護Age-related osteoporosis with current pathological fracture, right forearm, initial encounter for fracture",10000
733.12,M80.032A,遠端橈骨及尺骨病理性骨折Pathologic fracture of distal radius and ulna,"左側前臂老年性骨質疏鬆症伴有病?性骨折之初期照護Age-related osteoporosis with current pathological fracture, left forearm, initial encounter for fracture",10000
733.12,M80.039A,遠端橈骨及尺骨病理性骨折Pathologic fracture of distal radius and ulna,"未明示側性前臂老年性骨質疏鬆症伴有病?性骨折之初期照護Age-related osteoporosis with current pathological fracture, unspecified forearm, initial encounter for fracture",10000
