ICD9編碼,ICD10編碼,ICD9內容,ICD10內容,對應情形
822.0,S82.001A,"髕骨閉鎖性骨折Fracture of patella, closed","右側髕骨閉鎖性骨折之初期照護Unspecified fracture of right patella, initial encounter for closed fracture",10000
822.0,S82.002A,"髕骨閉鎖性骨折Fracture of patella, closed","左側髕骨閉鎖性骨折之初期照護Unspecified fracture of left patella, initial encounter for closed fracture",10000
822.0,S82.009A,"髕骨閉鎖性骨折Fracture of patella, closed","未明示側性髕骨閉鎖性骨折之初期照護Unspecified fracture of unspecified patella, initial encounter for closed fracture",10000
822.0,S82.011A,"髕骨閉鎖性骨折Fracture of patella, closed","右側髕骨骨軟骨移位閉鎖性骨折之初期照護Displaced osteochondral fracture of right patella, initial encounter for closed fracture",10000
822.0,S82.012A,"髕骨閉鎖性骨折Fracture of patella, closed","左側髕骨骨軟骨移位閉鎖性骨折之初期照護Displaced osteochondral fracture of left patella, initial encounter for closed fracture",10000
822.0,S82.013A,"髕骨閉鎖性骨折Fracture of patella, closed","未明示側性髕骨骨軟骨移位閉鎖性骨折之初期照護Displaced osteochondral fracture of unspecified patella, initial encounter for closed fracture",10000
822.0,S82.014A,"髕骨閉鎖性骨折Fracture of patella, closed","右側髕骨骨軟骨非移位閉鎖性骨折之初期照護Nondisplaced osteochondral fracture of right patella, initial encounter for closed fracture",10000
822.0,S82.015A,"髕骨閉鎖性骨折Fracture of patella, closed","左側髕骨骨軟骨非移位閉鎖性骨折之初期照護Nondisplaced osteochondral fracture of left patella, initial encounter for closed fracture",10000
822.0,S82.016A,"髕骨閉鎖性骨折Fracture of patella, closed","未明示側性髕骨骨軟骨非移位閉鎖性骨折之初期照護Nondisplaced osteochondral fracture of unspecified patella, initial encounter for closed fracture",10000
822.0,S82.021A,"髕骨閉鎖性骨折Fracture of patella, closed","右側髕骨縱裂移位閉鎖性骨折之初期照護Displaced longitudinal fracture of right patella, initial encounter for closed fracture",10000
822.0,S82.022A,"髕骨閉鎖性骨折Fracture of patella, closed","左側髕骨縱裂移位閉鎖性骨折之初期照護Displaced longitudinal fracture of left patella, initial encounter for closed fracture",10000
822.0,S82.023A,"髕骨閉鎖性骨折Fracture of patella, closed","未明示側性髕骨縱裂移位閉鎖性骨折之初期照護Displaced longitudinal fracture of unspecified patella, initial encounter for closed fracture",10000
822.0,S82.024A,"髕骨閉鎖性骨折Fracture of patella, closed","右側髕骨縱裂非移位閉鎖性骨折之初期照護Nondisplaced longitudinal fracture of right patella, initial encounter for closed fracture",10000
822.0,S82.025A,"髕骨閉鎖性骨折Fracture of patella, closed","左側髕骨縱裂非移位閉鎖性骨折之初期照護Nondisplaced longitudinal fracture of left patella, initial encounter for closed fracture",10000
822.0,S82.026A,"髕骨閉鎖性骨折Fracture of patella, closed","未明示側性髕骨縱裂非移位閉鎖性骨折之初期照護Nondisplaced longitudinal fracture of unspecified patella, initial encounter for closed fracture",10000
822.0,S82.031A,"髕骨閉鎖性骨折Fracture of patella, closed","右側髕骨橫斷移位閉鎖性骨折之初期照護Displaced transverse fracture of right patella, initial encounter for closed fracture",10000
822.0,S82.032A,"髕骨閉鎖性骨折Fracture of patella, closed","左側髕骨橫斷移位閉鎖性骨折之初期照護Displaced transverse fracture of left patella, initial encounter for closed fracture",10000
822.0,S82.033A,"髕骨閉鎖性骨折Fracture of patella, closed","未明示側性髕骨橫斷移位閉鎖性骨折之初期照護Displaced transverse fracture of unspecified patella, initial encounter for closed fracture",10000
822.0,S82.034A,"髕骨閉鎖性骨折Fracture of patella, closed","右側髕骨橫斷非移位閉鎖性骨折之初期照護Nondisplaced transverse fracture of right patella, initial encounter for closed fracture",10000
822.0,S82.035A,"髕骨閉鎖性骨折Fracture of patella, closed","左側髕骨橫斷非移位閉鎖性骨折之初期照護Nondisplaced transverse fracture of left patella, initial encounter for closed fracture",10000
822.0,S82.036A,"髕骨閉鎖性骨折Fracture of patella, closed","未明示側性髕骨橫斷非移位閉鎖性骨折之初期照護Nondisplaced transverse fracture of unspecified patella, initial encounter for closed fracture",10000
822.0,S82.041A,"髕骨閉鎖性骨折Fracture of patella, closed","右側髕骨粉碎移位閉鎖性骨折之初期照護Displaced comminuted fracture of right patella, initial encounter for closed fracture",10000
822.0,S82.042A,"髕骨閉鎖性骨折Fracture of patella, closed","左側髕骨粉碎移位閉鎖性骨折之初期照護Displaced comminuted fracture of left patella, initial encounter for closed fracture",10000
822.0,S82.043A,"髕骨閉鎖性骨折Fracture of patella, closed","未明示側性髕骨粉碎移位閉鎖性骨折之初期照護Displaced comminuted fracture of unspecified patella, initial encounter for closed fracture",10000
822.0,S82.044A,"髕骨閉鎖性骨折Fracture of patella, closed","右側髕骨粉碎非移位閉鎖性骨折之初期照護Nondisplaced comminuted fracture of right patella, initial encounter for closed fracture",10000
822.0,S82.045A,"髕骨閉鎖性骨折Fracture of patella, closed","左側髕骨粉碎非移位閉鎖性骨折之初期照護Nondisplaced comminuted fracture of left patella, initial encounter for closed fracture",10000
822.0,S82.046A,"髕骨閉鎖性骨折Fracture of patella, closed","未明示側性髕骨粉碎非移位閉鎖性骨折之初期照護Nondisplaced comminuted fracture of unspecified patella, initial encounter for closed fracture",10000
822.0,S82.091A,"髕骨閉鎖性骨折Fracture of patella, closed","右側髕骨其他閉鎖性骨折之初期照護Other fracture of right patella, initial encounter for closed fracture",10000
822.0,S82.092A,"髕骨閉鎖性骨折Fracture of patella, closed","左側髕骨其他閉鎖性骨折之初期照護Other fracture of left patella, initial encounter for closed fracture",10000
822.0,S82.099A,"髕骨閉鎖性骨折Fracture of patella, closed","未明示側性髕骨其他閉鎖性骨折之初期照護Other fracture of unspecified patella, initial encounter for closed fracture",10000
822.1,S82.001B,"髕骨開放性骨折Fracture of patella, open","右側髕骨第I或第II型開放性骨折之初期照護Unspecified fracture of right patella, initial encounter for open fracture type I or II",10000
822.1,S82.001C,"髕骨開放性骨折Fracture of patella, open","右側髕骨IIIA,IIIB或IIIC型開放性骨折之初期照護Unspecified fracture of right patella, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
822.1,S82.002B,"髕骨開放性骨折Fracture of patella, open","左側髕骨第I或第II型開放性骨折之初期照護Unspecified fracture of left patella, initial encounter for open fracture type I or II",10000
822.1,S82.002C,"髕骨開放性骨折Fracture of patella, open","左側髕骨IIIA,IIIB或IIIC型開放性骨折之初期照護Unspecified fracture of left patella, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
822.1,S82.009B,"髕骨開放性骨折Fracture of patella, open","未明示側性髕骨第I或第II型開放性骨折之初期照護Unspecified fracture of unspecified patella, initial encounter for open fracture type I or II",10000
822.1,S82.009C,"髕骨開放性骨折Fracture of patella, open","未明示側性髕骨IIIA,IIIB或IIIC型開放性骨折之初期照護Unspecified fracture of unspecified patella, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
822.1,S82.011B,"髕骨開放性骨折Fracture of patella, open","右側髕骨骨軟骨移位開放性骨折第I或第II型之初期照護Displaced osteochondral fracture of right patella, initial encounter for open fracture type I or II",10000
