ICD9編碼,ICD10編碼,ICD9內容,ICD10內容,對應情形
808.0,S32.401A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","右側髖臼閉鎖性骨折之初期照護Unspecified fracture of right acetabulum, initial encounter for closed fracture",10000
808.0,S32.402A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","左側髖臼閉鎖性骨折之初期照護Unspecified fracture of left acetabulum, initial encounter for closed fracture",10000
808.0,S32.409A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","未明示側性髖臼閉鎖性骨折之初期照護Unspecified fracture of unspecified acetabulum, initial encounter for closed fracture",10000
808.0,S32.411A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","右側移位性髖臼前壁閉鎖性骨折之初期照護Displaced fracture of anterior wall of right acetabulum, initial encounter for closed fracture",10000
808.0,S32.412A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","左側移位性髖臼前壁閉鎖性骨折之初期照護Displaced fracture of anterior wall of left acetabulum, initial encounter for closed fracture",10000
808.0,S32.413A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","未明示側性移位性髖臼前壁閉鎖性骨折之初期照護Displaced fracture of anterior wall of unspecified acetabulum, initial encounter for closed fracture",10000
808.0,S32.414A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","右側非移位性髖臼前壁閉鎖性骨折之初期照護Nondisplaced fracture of anterior wall of right acetabulum, initial encounter for closed fracture",10000
808.0,S32.415A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","左側非移位性髖臼前壁閉鎖性骨折之初期照護Nondisplaced fracture of anterior wall of left acetabulum, initial encounter for closed fracture",10000
808.0,S32.416A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","未明示側性非移位性髖臼前壁閉鎖性骨折之初期照護Nondisplaced fracture of anterior wall of unspecified acetabulum, initial encounter for closed fracture",10000
808.0,S32.421A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","右側移位性髖臼後壁閉鎖性骨折之初期照護Displaced fracture of posterior wall of right acetabulum, initial encounter for closed fracture",10000
808.0,S32.422A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","左側移位性髖臼後壁閉鎖性骨折之初期照護Displaced fracture of posterior wall of left acetabulum, initial encounter for closed fracture",10000
808.0,S32.423A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","未明示側性移位性髖臼後壁閉鎖性骨折之初期照護Displaced fracture of posterior wall of unspecified acetabulum, initial encounter for closed fracture",10000
808.0,S32.424A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","右側非移位性髖臼後壁閉鎖性骨折之初期照護Nondisplaced fracture of posterior wall of right acetabulum, initial encounter for closed fracture",10000
808.0,S32.425A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","左側非移位性髖臼後壁閉鎖性骨折之初期照護Nondisplaced fracture of posterior wall of left acetabulum, initial encounter for closed fracture",10000
808.0,S32.426A,"髖臼閉鎖性骨折Fracture of acetabulum, closed","未明示側性非移位性髖臼後壁閉鎖性骨折之初期照護Nondisplaced fracture of posterior wall of unspecified acetabulum, initial encounter for closed fracture",10000
