ICD9編碼,ICD10編碼,ICD9內容,ICD10內容,對應情形
810.0,S42.001A,"鎖骨閉鎖性骨折Fracture in unspecified part of clavicle, closed","右側鎖骨未明示部位閉鎖性骨折之初期照護Fracture of unspecified part of right clavicle, initial encounter for closed fracture",10000
810.0,S42.002A,"鎖骨閉鎖性骨折Fracture in unspecified part of clavicle, closed","左側鎖骨未明示部位閉鎖性骨折之初期照護Fracture of unspecified part of left clavicle, initial encounter for closed fracture",10000
810.0,S42.009A,"鎖骨閉鎖性骨折Fracture in unspecified part of clavicle, closed","未明示側性鎖骨未明示部位閉鎖性骨折之初期照護Fracture of unspecified part of unspecified clavicle, initial encounter for closed fracture",10000
810.01,S42.011A,"鎖骨之胸骨端閉鎖性骨折Fracture in sternal end of clavicle, closed","右側鎖骨胸骨端前移位閉鎖性骨折之初期照護Anterior displaced fracture of sternal end of right clavicle, initial encounter for closed fracture",10000
810.01,S42.012A,"鎖骨之胸骨端閉鎖性骨折Fracture in sternal end of clavicle, closed","左側鎖骨胸骨端前移位閉鎖性骨折之初期照護Anterior displaced fracture of sternal end of left clavicle, initial encounter for closed fracture",10000
810.01,S42.013A,"鎖骨之胸骨端閉鎖性骨折Fracture in sternal end of clavicle, closed","未明示側性鎖骨胸骨端前移位閉鎖性骨折之初期照護Anterior displaced fracture of sternal end of unspecified clavicle, initial encounter for closed fracture",10000
810.01,S42.014A,"鎖骨之胸骨端閉鎖性骨折Fracture in sternal end of clavicle, closed","右側鎖骨胸骨端後移位閉鎖性骨折之初期照護Posterior displaced fracture of sternal end of right clavicle, initial encounter for closed fracture",10000
810.01,S42.015A,"鎖骨之胸骨端閉鎖性骨折Fracture in sternal end of clavicle, closed","左側鎖骨胸骨端後移位閉鎖性骨折之初期照護Posterior displaced fracture of sternal end of left clavicle, initial encounter for closed fracture",10000
810.01,S42.016A,"鎖骨之胸骨端閉鎖性骨折Fracture in sternal end of clavicle, closed","未明示側性鎖骨胸骨端後移位閉鎖性骨折之初期照護Posterior displaced fracture of sternal end of unspecified clavicle, initial encounter for closed fracture",10000
810.01,S42.017A,"鎖骨之胸骨端閉鎖性骨折Fracture in sternal end of clavicle, closed","右側鎖骨胸骨端非移位閉鎖性骨折之初期照護Nondisplaced fracture of sternal end of right clavicle, initial encounter for closed fracture",10000
810.01,S42.018A,"鎖骨之胸骨端閉鎖性骨折Fracture in sternal end of clavicle, closed","左側鎖骨胸骨端非移位閉鎖性骨折之初期照護Nondisplaced fracture of sternal end of left clavicle, initial encounter for closed fracture",10000
810.01,S42.019A,"鎖骨之胸骨端閉鎖性骨折Fracture in sternal end of clavicle, closed","未明示側性鎖骨胸骨端非移位閉鎖性骨折之初期照護Nondisplaced fracture of sternal end of unspecified clavicle, initial encounter for closed fracture",10000
