ICD9編碼,ICD10編碼,ICD9內容,ICD10內容,對應情形
825.25,S92.301A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","右側足部未明示蹠骨閉鎖性骨折之初期照護Fracture of unspecified metatarsal bone(s), right foot, initial encounter for closed fracture",10000
825.25,S92.302A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","左側足部未明示蹠骨閉鎖性骨折之初期照護Fracture of unspecified metatarsal bone(s), left foot, initial encounter for closed fracture",10000
825.25,S92.309A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","未明示側性足部未明示蹠骨閉鎖性骨折之初期照護Fracture of unspecified metatarsal bone(s), unspecified foot, initial encounter for closed fracture",10000
825.25,S92.311A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","右側足部第一蹠骨移位閉鎖性骨折之初期照護Displaced fracture of first metatarsal bone, right foot, initial encounter for closed fracture",10000
825.25,S92.312A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","左側足部第一蹠骨移位閉鎖性骨折之初期照護Displaced fracture of first metatarsal bone, left foot, initial encounter for closed fracture",10000
825.25,S92.313A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","未明示側性足部第一蹠骨移位閉鎖性骨折之初期照護Displaced fracture of first metatarsal bone, unspecified foot, initial encounter for closed fracture",10000
825.25,S92.314A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","右側足部第一蹠骨非移位閉鎖性骨折之初期照護Nondisplaced fracture of first metatarsal bone, right foot, initial encounter for closed fracture",10000
825.25,S92.315A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","左側足部第一蹠骨非移位閉鎖性骨折之初期照護Nondisplaced fracture of first metatarsal bone, left foot, initial encounter for closed fracture",10000
825.25,S92.316A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","未明示側性足部第一蹠骨非移位閉鎖性骨折之初期照護Nondisplaced fracture of first metatarsal bone, unspecified foot, initial encounter for closed fracture",10000
825.25,S92.321A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","右側足部第二蹠骨移位閉鎖性骨折之初期照護Displaced fracture of second metatarsal bone, right foot, initial encounter for closed fracture",10000
825.25,S92.322A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","左側足部第二蹠骨移位閉鎖性骨折之初期照護Displaced fracture of second metatarsal bone, left foot, initial encounter for closed fracture",10000
825.25,S92.323A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","未明示側性足部第二蹠骨移位閉鎖性骨折之初期照護Displaced fracture of second metatarsal bone, unspecified foot, initial encounter for closed fracture",10000
825.25,S92.324A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","右側足部第二蹠骨非移位閉鎖性骨折之初期照護Nondisplaced fracture of second metatarsal bone, right foot, initial encounter for closed fracture",10000
825.25,S92.325A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","左側足部第二蹠骨非移位閉鎖性骨折之初期照護Nondisplaced fracture of second metatarsal bone, left foot, initial encounter for closed fracture",10000
825.25,S92.326A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","未明示側性足部第二蹠骨非移位閉鎖性骨折之初期照護Nondisplaced fracture of second metatarsal bone, unspecified foot, initial encounter for closed fracture",10000
825.25,S92.331A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","右側足部第三蹠骨移位閉鎖性骨折之初期照護Displaced fracture of third metatarsal bone, right foot, initial encounter for closed fracture",10000
825.25,S92.332A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","左側足部第三蹠骨移位閉鎖性骨折之初期照護Displaced fracture of third metatarsal bone, left foot, initial encounter for closed fracture",10000
825.25,S92.333A,"蹠骨閉鎖性骨折Fracture of metatarsal bone(s), closed","未明示側性第三蹠骨移位閉鎖性骨折之初期照護Displaced fracture of third metatarsal bone, unspecified foot, initial encounter for closed fracture",10000
